column_name,column_description
campaign_id,The ID of the related campaign.
day,The day of the activity.
clicks,The count of chargeable clicks.
impressions,"This is the count of ""impressions"" for Direct Ads and Sponsored Updates and ""sends"" for InMails."
cost_in_local_currency,The cost of the ads in the local currency.
cost_in_usd,The cost of the ads in the USD.
conversion_value_in_local_currency,"The value generated by your conversions, displayed in your LinkedIn account's local currency."
external_website_conversions,The actions taken on your website that you've defined as valuable to your business after clicking on LinkedIn ads.
one_click_leads,Leads submitted after clicking on LinkedIn ads.
comments,
viral_other_engagements,
viral_comment_likes,
viral_impressions,
comment_likes,
card_clicks,
one_click_lead_form_opens,
viral_full_screen_plays,
text_url_clicks,
follows,
viral_company_page_clicks,
lead_generation_mail_contact_info_shares,
viral_video_first_quartile_completions,
viral_landing_page_clicks,
viral_external_website_conversions,
viral_external_website_post_view_conversions,
video_views,
viral_video_starts,
viral_one_click_leads,
action_clicks,
video_starts,
full_screen_plays,
external_website_post_view_conversions,
video_completions,
viral_card_clicks,
viral_video_third_quartile_completions,
landing_page_clicks,
video_third_quartile_completions,
viral_external_website_post_click_conversions,
approximate_unique_impressions,
opens,
viral_video_views,
lead_generation_mail_interested_clicks,
shares,
external_website_post_click_conversions,
video_first_quartile_completions,
viral_card_impressions,
total_engagements,
viral_clicks,
other_engagements,
viral_one_click_lead_form_opens,
likes,
viral_video_midpoint_completions,
viral_video_completions,
viral_follows,
video_midpoint_completions,
viral_comments,
viral_likes,
card_impressions,
viral_shares,
company_page_clicks,
ad_unit_clicks,
viral_total_engagements,
