column_name,column_description
creative_id,The ID of the related creative.
day,The day of the activity.
clicks,The count of chargeable clicks.
impressions,"This is the count of ""impressions"" for Direct Ads and Sponsored Updates and ""sends"" for InMails."
cost_in_local_currency,The cost of the ads in the local currency.
cost_in_usd,The cost of the ads in the USD.
conversion_value_in_local_currency,"The value generated by your conversions, displayed in your LinkedIn account's local currency."
external_website_conversions,The actions taken on your website that you've defined as valuable to your business after clicking on LinkedIn ads.
one_click_leads,Leads submitted after clicking on LinkedIn ads.
other_engagements,
viral_impressions,
video_third_quartile_completions,
one_click_lead_form_opens,
opens,
viral_other_engagements,
viral_video_third_quartile_completions,
comment_likes,
viral_external_website_post_view_conversions,
viral_external_website_post_click_conversions,
viral_video_views,
external_website_post_click_conversions,
viral_shares,
viral_external_website_conversions,
viral_full_screen_plays,
viral_video_starts,
viral_likes,
landing_page_clicks,
approximate_unique_impressions,
viral_video_midpoint_completions,
video_completions,
viral_clicks,
viral_video_first_quartile_completions,
viral_follows,
likes,
viral_company_page_clicks,
comments,
lead_generation_mail_interested_clicks,
card_clicks,
text_url_clicks,
viral_one_click_leads,
video_starts,
video_midpoint_completions,
shares,
viral_card_impressions,
external_website_post_view_conversions,
action_clicks,
follows,
video_first_quartile_completions,
video_views,
viral_comment_likes,
viral_one_click_lead_form_opens,
full_screen_plays,
company_page_clicks,
ad_unit_clicks,
total_engagements,
viral_landing_page_clicks,
viral_total_engagements,
viral_card_clicks,
card_impressions,
viral_comments,
viral_video_completions,
lead_generation_mail_contact_info_shares,
