column_name,column_description
id,Unique identifier for the object.
updated_at,When the invoice was updated.
account_id,The account this invoice belongs to.
balance,The outstanding balance remaining on this invoice.
closed_at,Date invoice was marked paid or failed.
collection_method,"An automatic invoice means a corresponding transaction is run using the account's billing information  at the same time the invoice is created. Manual invoices are created without a corresponding transaction.  The merchant must enter a manual payment transaction or have the customer pay the invoice with an automatic method,  like credit card, PayPal, Amazon, or ACH bank payment. Default: ""automatic"" Enum: ""automatic"", ""manual""
"
created_at,When the invoice was created.
currency,3-letter ISO 4217 currency code.
discount,Total discounts applied to this invoice.
due_at,Date invoice is due. This is the date the net terms are reached.
net_terms,"Integer representing the number of days after an invoice's creation that the invoice will become past due.  If an invoice's net terms are set to '0', it is due 'On Receipt' and will become past due 24 hours after it’s created.  If an invoice is due net 30, it will become past due at 31 days exactly. Default: 0
"
number,"If VAT taxation and the Country Invoice Sequencing feature are enabled,  invoices will have country-specific invoice numbers for invoices billed to EU countries (e.g. FR1001).  Non-EU invoices will continue to use the site-level invoice number sequence.
"
origin,"The event that created the invoice. Enum: ""credit"", ""gift_card"", ""immediate_change"", ""line_item_refund"", ""open_amount_refund"",  ""purchase"", ""renewal"", ""termination"", ""write_off"", ""prepayment"".
"
paid,The total amount of successful payments transaction on this invoice.
po_number,"For manual invoicing, this identifies the PO number associated with the subscription."
previous_invoice_id,"On refund invoices, this value will exist and show the invoice ID of the purchase invoice the refund was created from."
refundable_amount,The refundable amount on a charge invoice. It will be null for all other invoices.
state,"The invoice state.  Enum: ""open"", ""pending"", ""processing"", ""past_due"", ""paid"", ""closed"", ""failed"", ""voided""
"
subtotal,"The summation of charges, discounts, and credits, before tax."
tax,The total tax on this invoice.
tax_rate,The rate of the tax.
tax_region,"Provides the tax region applied on an invoice. For U.S. Sales Tax,  this will be the 2 letter state code.  For EU VAT this will be the 2 letter country code.  For all country level tax types, this will display the regional tax, like VAT, GST, or PST.
"
tax_type,"Provides the tax type as ""vat"" for EU VAT, ""usst"" for U.S. Sales Tax,  or the 2 letter country code for country level tax types like Canada, Australia, New Zealand, Israel, and all non-EU European countries.
"
total,"The final total on this invoice. The summation of invoice charges, discounts, credits, and tax. Alternative the summation of subtotal and tax.
"
type,"Invoices are either ""charge"", ""credit"", or ""legacy"" invoices."
_fivetran_synced,Timestamp the record was synced by Fivetran.
