column_name,column_description
ADGROUP_ID,Ad group id
STAT_TIME_HOUR,Hour of activity
COST_PER_CONVERSION,"The average amount of money you've spent on a conversion.  (The total count is calculated based on the time each ad impression occurred.)
"
REAL_TIME_CONVERSION,"The number of times your ad achieved an outcome,  based on the objective and settings you selected. (The total count is based on when the conversion actually happened.)
"
CPC,The average amount of money you've spent on a click.
VIDEO_PLAY_ACTIONS,The number of times your video starts to play. Replays will not be counted.
CONVERSION_RATE,The percentage of results you received out of all the clicks of your ads. (The total count is calculated based on the time each ad impression occurred.)
VIDEO_VIEWS_P_75,The number of times your video was played at 75% of its length. Replays will not be counted.
RESULT,"The number of times your ad achieved an outcome, based on the optimization goal  you selected. As one campaign may have a number of different optimization goals,  this statistic is not supported for campaigns. Please go to ad groups or ads to view the results.  (The total count is calculated based on the time each ad impression occurred.)
"
VIDEO_VIEWS_P_50,The number of times your video was played at 50% of its length. Replays will not be counted.
IMPRESSIONS,The number of times your ads were on screen.
COMMENTS,The number of comments your video creative received within 1 day of a user seeing a paid ad.
REAL_TIME_COST_PER_RESULT,"As a campaign may have different optimization goals, the total number of result  is not supported in campaign section now, please go to the ad group section to view the cost  per Result. (The total count is based on when the conversion actually happened.)
"
CONVERSION,"The number of times your ad achieved an outcome, based on the secondary goal you selected.  As one campaign may have a number of different secondary goals, this statistic is not supported for campaigns.  Please go to ad groups or ads to view. (The total count is calculated based on the time each ad impression occurred.)
"
REAL_TIME_RESULT,"The number of times your ad achieved an outcome, based on the optimization goal you selected.  As a campaign may have different optimization goals, the total number of result is not supported in campaign section now , Please go to the ad group section to view the result. (The total count is based on when the conversion actually happened.)
"
VIDEO_VIEWS_P_100,The number of times your video was played at 100% of its length. Replays will not be counted.
SHARES,The number of shares your video creative received within 1 day of a user seeing a paid ad.
REAL_TIME_CONVERSION_RATE,The percentage of results you received out of all the clicks of your ads. (The total count is based on when the conversion actually happened.)
COST_PER_SECONDARY_GOAL_RESULT,"The average cost for each secondary goal result from your adverts. As one campaign may have a number of different secondary goals,  this statistic is not supported for campaigns. Please go to ad groups or ads to view. (The total count is calculated based on the time each ad impression occurred.)
"
SECONDARY_GOAL_RESULT_RATE,"The percentage of secondary goal results you achieved out of all of the installs of your adverts. As one campaign may have a number  of different secondary goals, this statistic is not supported for campaigns. Please go to ad groups or ads to view. The total count is calculated based on the time each ad impression occurred.
"
CLICKS,The number of clicks on your ads.
COST_PER_1000_REACHED,"The average cost to reach 1,000 unique users. This metric is estimated."
VIDEO_VIEWS_P_25,The number of times your video was played at 25% of its length. Replays will not be counted.
REACH,The number of unique users who saw your ads at least once. This metric is estimated.
REAL_TIME_COST_PER_CONVERSION,The average amount of money you've spent on a conversion. (The total count is based on when the conversion actually happened.)
PROFILE_VISITS_RATE,The rate of profile visits per impression the paid ad drove during the campaign. This metric is only for Boosted TikToks.
AVERAGE_VIDEO_PLAY,"The average time your video was played per single video view, including any time spent replaying the video."
PROFILE_VISITS,The number of profile visits the ad drove during the campaign. This metric is only for Boosted TikToks.
CPM,"The average amount of money you've spent per 1,000 impressions."
CTR,The percentage of times people saw your ad and performed a click.
VIDEO_WATCHED_2_S,The number of times your video played for at least 2 seconds. Replays will not be counted.
FOLLOWS,The number of new followers that were gained within 1 day of a user seeing a paid ad. This metric is only for Boosted TikToks.
RESULT_RATE,"The percentage of results you achieved out of all of the views/clicks on your ads. As one campaign may have a number  of different optimization goals, this statistic is not supported for campaigns. Please go to ad groups or ads to view the result rate.  (The total count is calculated based on the time each ad impression occurred.)
"
VIDEO_WATCHED_6_S,"The number of times your video played for at least 6 seconds, or completely played. Replays will not be counted."
SECONDARY_GOAL_RESULT,"The number of times your ad achieved an outcome, based on the secondary goal you selected. As one campaign may have a number  of different secondary goals, this statistic is not supported for campaigns. Please go to ad groups or ads to view. (The total count is  calculated based on the time each ad impression occurred.)
"
COST_PER_RESULT,"The average cost for each result from your ads. As one campaign may have a number of different optimization goals, this statistic  is not supported for campaigns. Please go to ad groups or ads to view the cost per result. (The total count is calculated based on the time each ad impression occurred.)
"
AVERAGE_VIDEO_PLAY_PER_USER,"The average time your video was played per person, including any time spent replaying the video. This metric is estimated."
REAL_TIME_RESULT_RATE,"As a campaign may have different optimization goals, the total number of result is not supported in campaign section now ,Please go to the ad group section to view the Result Rate.  (The total count is based on when the conversion actually happened.)
"
SPEND,"The estimated total amount of money you've spent on your campaign, ad group or ad during its schedule."
LIKES,The number of likes your video creative received within 1 day of a user seeing a paid ad.
_FIVETRAN_SYNCED,Timestamp of when Fivetran synced a record.
TOTAL_PURCHASE_VALUE,The total value of purchase events that occurred in your app that were recorded by your measurement partner.
TOTAL_SALES_LEAD_VALUE,The monetary worth or potential value assigned to a lead generated through ads.
